rewards,connectivity,extinction_prob,colonization_prob,occupied_fraction,good_habitat_fraction,survival_time,restore_fraction,supp_fraction
5.25201,1.432297811613973,0.27622623921710415,0.15505948224303392,0.7203779712643678,0.7718386264367817,29.9972,0.14616157471264365,0.19046499425287355
4.666,1.4838118123854172,0.26950614982402754,0.16020280902259745,0.7333333333333332,0.7933333333333333,30.0,0.1566666666666667,0.2
7.034000000000001,1.4688633110508873,0.27572035288999713,0.15843358726663587,0.7366666666666668,0.7566666666666665,30.0,0.14333333333333334,0.16666666666666663
5.414000000000001,1.4928756052716834,0.29602263833049663,0.1595850214536392,0.7366666666666666,0.73,30.0,0.16000000000000003,0.18333333333333332
5.1720000000000015,1.404700497552791,0.3158349599573091,0.1503923571325165,0.6799999999999999,0.6966666666666665,30.0,0.15666666666666665,0.15666666666666668
4.69,1.4333566438718912,0.2837502852587522,0.15414311797449512,0.7233333333333332,0.7533333333333334,30.0,0.14333333333333337,0.20666666666666664
7.4,1.5955880027538065,0.27733327921034917,0.17020468302408645,0.7866666666666667,0.7666666666666667,30.0,0.16000000000000003,0.17333333333333334
5.414000000000001,1.5117731595842963,0.2803496798346667,0.16282513744593624,0.7366666666666666,0.7733333333333333,30.0,0.15333333333333335,0.19
6.448000000000002,1.422948232626448,0.28790451265604206,0.15372432429356564,0.7333333333333333,0.7433333333333334,30.0,0.15333333333333335,0.16666666666666666
8.282000000000004,1.5229114301233908,0.23796939463285505,0.1662356338599629,0.7566666666666665,0.86,30.0,0.11333333333333336,0.18333333333333338
2.818000000000001,1.415161748457735,0.31463354405658006,0.1510153833052797,0.6933333333333332,0.6900000000000001,30.0,0.17000000000000004,0.20000000000000004
4.428000000000001,1.42186498452036,0.26578829715580593,0.1548355150266946,0.7200000000000001,0.8033333333333335,30.0,0.1366666666666667,0.2166666666666667
4.69,1.3978891428564737,0.2527064958625702,0.15308862869205217,0.7233333333333334,0.8299999999999998,30.0,0.14333333333333334,0.20666666666666667
10.540000000000001,1.5528815804396536,0.24931369457326932,0.1679689392470344,0.7833333333333334,0.8166666666666667,30.0,0.11666666666666668,0.15
2.3180000000000005,1.3804642551734274,0.32397352117157346,0.14757628576374213,0.6766666666666669,0.6733333333333333,30.0,0.17333333333333334,0.19666666666666668
5.9620000000000015,1.4416015938623556,0.2536863145004931,0.15718685055702278,0.7333333333333333,0.8166666666666667,30.0,0.13333333333333333,0.19666666666666666
6.872,1.4057776600892615,0.28475488087515494,0.15197030199728903,0.7366666666666666,0.7499999999999999,30.0,0.15666666666666668,0.15666666666666665
4.772000000000001,1.3853464075721764,0.2731527355258584,0.1506900778571252,0.6666666666666667,0.7799999999999998,30.0,0.13333333333333336,0.18
4.6899999999999995,1.4019606891238277,0.2603227221090606,0.15233834312009303,0.7233333333333334,0.8000000000000002,30.0,0.13666666666666671,0.21333333333333332
5.600000000000001,1.4569215162348848,0.28743341156579605,0.15658367027459252,0.7266666666666668,0.7433333333333333,30.0,0.1566666666666667,0.1766666666666667
7.034000000000002,1.4654741577875454,0.2562088595321106,0.16003553522255715,0.7366666666666666,0.8166666666666665,30.0,0.13000000000000003,0.18
5.176,1.450342273282824,0.285386389039224,0.15605677377479674,0.7233333333333333,0.7433333333333333,30.0,0.15,0.18999999999999997
8.854000000000001,1.4604178100155718,0.2571414165437304,0.15915253571464189,0.7433333333333335,0.8133333333333334,30.0,0.12333333333333335,0.15333333333333332
7.034000000000001,1.467646571086412,0.2684797370189431,0.15906027735825778,0.7366666666666667,0.7833333333333332,30.0,0.13,0.18
3.018000000000001,1.3864261681543255,0.2898903694151265,0.15020320020955769,0.7,0.7500000000000001,30.0,0.14333333333333337,0.22666666666666663
4.404000000000001,1.4792109004161422,0.29024908543108324,0.15862252324474294,0.73,0.7433333333333334,30.0,0.17000000000000004,0.19
4.452000000000001,1.4089942292073938,0.2705806008474376,0.1532834234558721,0.7100000000000001,0.7866666666666666,30.0,0.14333333333333328,0.20333333333333334
5.500000000000002,1.4285624020573082,0.29250719941912534,0.1539060101374429,0.7233333333333334,0.7333333333333333,30.0,0.15333333333333332,0.18000000000000002
4.566000000000002,1.4575094008563825,0.28787549631342646,0.1565982407865958,0.7300000000000001,0.7500000000000002,30.0,0.16333333333333339,0.19333333333333333
7.344000000000001,1.4538574706311254,0.2746576491791505,0.15744435271312535,0.7199999999999999,0.7633333333333333,30.0,0.14,0.15333333333333332
5.1,1.4177861070221205,0.2777799606098955,0.15357907964372824,0.7099999999999999,0.7566666666666666,30.0,0.13999999999999999,0.19333333333333333
5.410000000000001,1.379822259551079,0.26997681236738114,0.15056761601139126,0.6933333333333332,0.7900000000000001,30.0,0.13333333333333336,0.1833333333333333
7.210000000000001,1.4596405542410957,0.25661816234158313,0.15892121407511237,0.7533333333333333,0.8166666666666665,30.0,0.13000000000000003,0.18666666666666668
3.928000000000001,1.370036807654644,0.29290298705864004,0.14755293080254125,0.7033333333333335,0.7300000000000001,30.0,0.15333333333333335,0.2
7.858000000000003,1.4838078124589962,0.2468241551854325,0.16128938890764435,0.7533333333333334,0.8499999999999999,30.0,0.12333333333333335,0.18000000000000005
4.314000000000001,1.3705723711488271,0.2671344203428661,0.14990250936210311,0.7000000000000001,0.7966666666666666,30.0,0.1366666666666667,0.20666666666666667
